Job Title,Salary,Company,Date,Location,Category
Зээлийн эрсдэлийн мэргэжилтэн,"2,100,000 ₮",Монибокс ХХК,2024-11-01 16:26,120 мянгат,"Банк, санхүү, нябо, нярав"
Кемп менежер,"2,500,000 ₮",хувь хүн,2024-11-01 12:56,Өмнөговь,"Тээвэр, гааль, агуулах"
Эмнэлэгт оператор,"1,500,000 ₮",хувь хүн,2024-10-31 18:28,Хороо 14,"МТ, харилцаа холбоо"
Угсралтын компанид сантехникч,"2,500,000 ₮",хувь хүн,2024-10-31 16:34,Зүүн 4 зам,"Барилга, дэд бүтэц"
Туслах ажилтан,"1,800,000 ₮",хувь хүн,2024-10-24 12:44,13-р хороолол,Туслах ажилчин
Үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-09-12 11:32,Хороо 24,Үйлчилгээ
Цэвэрлэгээний ажилтан,"800,000 ₮",хувь хүн,2022-10-27 10:07,Хороо 1,Үйлчилгээ
Гал тогооны ээлжийн ажилтан,"1,500,000 ₮",хувь хүн,2024-11-19,Сүхбаатарын талбай,"Pесторан, кафе, паб"
Үндсэн хөрөнгийн нягтлан бодогч эрэгтэй,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Банк, санхүү, нябо, нярав"
Sunday-1т эмэгтэй худалдагч,"1,900,000 ₮",хувь хүн,2024-11-19,Сандэй плаза,"Борлуулалт, худалдаа"
Автын засварчин,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 5,"Авто үйлчилгээ, засвар"
Зөөгч,"50,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-19,Баруун 4 зам,"Борлуулалт, худалдаа"
Захиалга хүлээн авагч,"1,000,000 ₮",хувь хүн,2024-11-19,13-р хороолол,"МТ, харилцаа холбоо"
Barmen,"2,100,000 ₮",хувь хүн,2024-11-19,Хороо 6,"Pесторан, кафе, паб"
Бараа материалын нярав,"2,000,000 ₮",хувь хүн,2024-11-19,Хороо 23,"Банк, санхүү, нябо, нярав"
Угаагч,"1,500,000 ₮",хувь хүн,2024-11-19,Нарны хороолол,"Pесторан, кафе, паб"
Ресторанд касс,"1,500,000 ₮",хувь хүн,2024-11-19,River Garden,"Pесторан, кафе, паб"
Хүргэлтийн жолооч,"1,500,000 ₮",хувь хүн,2024-11-19,River Garden,"Борлуулалт, худалдаа"
Угаагч бэлтгэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 26,"Pесторан, кафе, паб"
Цагаан хэрэглэл цэвэрлэгээний газар угаалга хийх хүн,"1,500,000 ₮",хувь хүн,2024-11-19,Сансар,Үйлчилгээ
Зөөгч,"1,320,000 ₮",хувь хүн,2024-11-19,Хороо 26,"Pесторан, кафе, паб"
Hudaldaanii zuwluh,"2,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Барилгын туслах,"100,000 ₮",хувь хүн,2024-11-19,Алтай хотхон,"Барилга, дэд бүтэц"
Төрийн байгууллагад үйлчлэгч,"900,000 ₮",хувь хүн,2024-11-19,Хүнсний 1-р дэлгүүр,Үйлчилгээ
Хүнсний үйлдвэрт чанар шалгагч,"2,200,000 ₮",Веж Арт Натуралс ХХК,2024-11-19,5 шар,Үйлдвэрлэл
Үйлдвэрийн мастер,"2,200,000 ₮",Веж Арт Натуралс ХХК,2024-11-19,5 шар,Үйлдвэрлэл
Түгээгч,"2,000,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Борлуулалт, худалдаа"
Худалдааны зөвлөх /хүннү молл/,"1,500,000 ₮",ЭМ БИ ФЭЙШН ХХК,2024-11-19,Viva city,"Борлуулалт, худалдаа"
Үхрийн фермд туслах малчин,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 21,Ажлын зар
Туслах нягтлан бодогч,"1,500,000 ₮",Хорол Коллекшн ХХК,2024-11-19,Хороо 19,"Банк, санхүү, нябо, нярав"
Туслах ажилтан,"2,500,000 ₮",Хорол Коллекшн ХХК,2024-11-19,Цайз,Үйлдвэрлэл
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-19,Хороо 11,"Pесторан, кафе, паб"
Харуул,"100,000 ₮",хувь хүн,2024-11-19,Зайсан,Харуул хамгаалалт
Харилцагчийн үйлчилгээний ажилтан,"1,800,000 ₮",хувь хүн,2024-11-19,Натур худалдааны төв,"Банк, санхүү, нябо, нярав"
Сөхд үйлчлэгч,"900,000 ₮",хувь хүн,2024-11-19,Төмөр зам,Үйлчилгээ
Тогооч,"100,000 ₮",хувь хүн,2024-11-19,Төв,"Pесторан, кафе, паб"
Товч шилбэчин,"2,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,Үйлдвэрлэл
Хамгаалагч,"2,200,000 ₮",хувь хүн,2024-11-19,Хороо 1,Харуул хамгаалалт
Хамгаалагч,"1,000,000 ₮",хувь хүн,2024-11-19,220 мянгат,Харуул хамгаалалт
Хүнсний дэлгүүрт ээлжийн касс,"1,510,000 ₮",хувь хүн,2024-11-19,Чулуун овоо,"Борлуулалт, худалдаа"
Хамгаалагч,"1,300,000 ₮",хувь хүн,2024-11-19,Зайсан,Харуул хамгаалалт
Худалдааны зөвлөх,"1,600,000 ₮",хувь хүн,2024-11-19,River Garden,"Борлуулалт, худалдаа"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,Үйлчилгээ
Үл хөдлөхийн бизнес хийх агент,"4,000,000 ₮",хувь хүн,2024-11-19,Монголын Үндэсний Их Сургууль,"Борлуулалт, худалдаа"
Хүргэлтийн ажилтан,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Цахилгаанчин,"1,500,000 ₮",хувь хүн,2024-11-19,13-р хороолол,"Барилга, дэд бүтэц"
Хан уул и-март гутлын дэлгүүрт худалдааны зөвлөх,"1,700,000 ₮",хувь хүн,2024-11-19,Наран плаза,"Борлуулалт, худалдаа"
Цайны газарт угаагч,"70,000 ₮",хувь хүн,2024-11-19,5 шар,"Pесторан, кафе, паб"
Пилтачин мужаан,"2,300,000 ₮",хувь хүн,2024-11-19,Зайсан,"Барилга, дэд бүтэц"
Бариста,"1,200,000 ₮",хувь хүн,2024-11-19,Баянмонгол хороолол,"Pесторан, кафе, паб"
Талх нарийн боовны тогооч,"1,800,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Pесторан, кафе, паб"
Үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Pесторан, кафе, паб"
График дизайнер,"2,000,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Дизайн, урлаг, уран сайхан"
Ресторан болон кофе шопын ерөнхий менежер,"3,500,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Pесторан, кафе, паб"
Маркетингийн менежер,"3,000,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Pесторан, кафе, паб"
Хүний нөөцийн менежер,"2,500,000 ₮",хувь хүн,2024-11-19,5-р хороолол,"Захиргаа, Хүний нөөц"
Үйлчлэгч,"1,400,000 ₮",Гурван шүтээн ХХК,2024-11-19,Хороо 3,Үйлчилгээ
Худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-19,Баруун 4 зам,"Борлуулалт, худалдаа"
Ажилчдын гал тогоонд угаагч,"1,500,000 ₮",хувь хүн,2024-11-19,Гандан,"Pесторан, кафе, паб"
Касс,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
С ангилалтай жолооч,"2,000,000 ₮",ЛЭЙДЭР ВЭЙТ ХХК,2024-11-19,Хороо 20,"Борлуулалт, худалдаа"
Ачигч,"1,800,000 ₮",ЛЭЙДЭР ВЭЙТ ХХК,2024-11-19,Хороо 20,Туслах ажилчин
Зайсанд сургуульд үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Зайсан,Үйлчилгээ
Зайсанд байрлалтай сургуульд харуул,"1,100,000 ₮",хувь хүн,2024-11-19,Зайсан,Харуул хамгаалалт
Чикэн тогооч,"1,800,000 ₮",ЭМ БИ ФЭЙШН ХХК,2024-11-19,Баянмонгол хороолол,"Pесторан, кафе, паб"
Хабаэ,"2,500,000 ₮",хувь хүн,2024-11-19,Хэнтий,Уул уурхай
Өмнөговь цогтцэций 14/14 ээлжийн сантехникч,"1,500,000 ₮",Зээ Хас ХХК,2024-11-19,Өмнөговь,"Барилга, дэд бүтэц"
Өмнөговь Цогтцэций 14/14 ээлжийн мужаан,"1,500,000 ₮",Зээ Хас ХХК,2024-11-19,Өмнөговь,"Барилга, дэд бүтэц"
Сошиал маркетинг,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Маркетинг, PR менежмент"
Худалдааны зөвлөх/shangrila/,"1,500,000 ₮",ЭМ БИ ФЭЙШН ХХК,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Саунд бариач,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Эрүүл мэнд, эм зүй"
Харшлын эмч,"2,500,000 ₮",хувь хүн,2024-11-19,15-р хороолол,"Эрүүл мэнд, эм зүй"
Тогооч,"1,400,000 ₮",хувь хүн,2024-11-19,10-р хороолол,"Pесторан, кафе, паб"
Арьс харшлын эмч,"2,500,000 ₮",хувь хүн,2024-11-19,15-р хороолол,"Эрүүл мэнд, эм зүй"
Захирлын туслах,"2,000,000 ₮",Дүүрэн Фүүд ХХК,2024-11-19,Орбит,"Захиргаа, Хүний нөөц"
Тооцооны нягтлан бодогч,"2,500,000 ₮",Дүүрэн Фүүд ХХК,2024-11-19,Хороо 20,"Банк, санхүү, нябо, нярав"
Ачигч,"1,700,000 ₮",Дүүрэн Фүүд ХХК,2024-11-19,Орбит,Туслах ажилчин
Бартендер,"1,300,000 ₮",хувь хүн,2024-11-19,Хороо 11,"Pесторан, кафе, паб"
Нягтлан бодогч,"1,900,000 ₮",хувь хүн,2024-11-19,Хороо 11,"Банк, санхүү, нябо, нярав"
Няравын туслах ажилтан,"1,500,000 ₮",МЭЗ ХХК,2024-11-19,Хороо 20,"Банк, санхүү, нябо, нярав"
Зөөгч,"1,300,000 ₮",хувь хүн,2024-11-19,Хороо 11,"Pесторан, кафе, паб"
Ресепшин,"150,000 ₮",хувь хүн,2024-11-19,100 айл,"Аялал жуулчлал, зочид буудал"
Бэлтгэгч эрэгтэй.,"1,500,000 ₮",хувь хүн,2024-11-19,Marshall town,"Pесторан, кафе, паб"
Худалдагч,"2,000,000 ₮",хувь хүн,2024-11-19,100 айл,"Борлуулалт, худалдаа"
Модон хаалганы мужаан,"3,500,000 ₮",хувь хүн,2024-11-19,Хороо 20,"Дизайн, урлаг, уран сайхан"
Худалдааны төлөөлөгч,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Гал тогоонд бэлтгэгч,"1,700,000 ₮",хувь хүн,2024-11-19,Хороо 20,"Pесторан, кафе, паб"
Өглөө ээлжний зөөгч,"1,600,000 ₮",хувь хүн,2024-11-19,Хороо 20,"Pесторан, кафе, паб"
Туслах тогооч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Тавилга угсрагч,"2,500,000 ₮",хувь хүн,2024-11-19,Мишээл,Үйлдвэрлэл
Рестораны ээлжийн менежер,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 4,"Pесторан, кафе, паб"
Бэлтгэгч,"1,000,000 ₮",хувь хүн,2024-11-19,Зүүн 4 зам,Үйлдвэрлэл
Улаанхуаранд байрлалтай цайны газарт аяга угаагч,"1,900,000 ₮",хувь хүн,2024-11-19,Улаанхуаран,"Pесторан, кафе, паб"
Үйлдвэрийн ажилтан /эрэгтэй/,"2,000,000 ₮",хувь хүн,2024-11-19,Төв,Үйлдвэрлэл
Хуушуурын тогооч,"110,000 ₮",хувь хүн,2024-11-19,11-р хороолол,"Pесторан, кафе, паб"
Үйлчлэгч,"1,400,000 ₮",хувь хүн,2024-11-19,19-р хороолол,Үйлчилгээ
Агаар сэлгэгч суурилуулагч,"2,500,000 ₮",хувь хүн,2024-11-19,Дөлгөөн нуур,"Барилга, дэд бүтэц"
Туслах ажилтан,"150,000 ₮",хувь хүн,2024-11-19,5 шар,"Барилга, дэд бүтэц"
Хуушуурын тогооч,"110,000 ₮",хувь хүн,2024-11-19,13-р хороолол,"Pесторан, кафе, паб"
Хамгаалагч,"1,200,000 ₮",хувь хүн,2024-11-19,Төв,Харуул хамгаалалт
Аж ахуйн туслах ажилтан,"1,250,000 ₮",хувь хүн,2024-11-19,Шинэ Монгол сургуулийн ойролцоо,Үйлчилгээ
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-19,13-р хороолол,Үйлчилгээ
Туслах тогооч,"1,300,000 ₮",хувь хүн,2024-11-19,Хороо 17,"Pесторан, кафе, паб"
Ресепшн,"70,000 ₮",хувь хүн,2024-11-19,Баянхошуу,"Аялал жуулчлал, зочид буудал"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,Үйлчилгээ
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 3,Үйлчилгээ
Админ менежер,"1,500,000 ₮",хувь хүн,2024-11-19,120 мянгат,"Борлуулалт, худалдаа"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,19-р хороолол,Үйлчилгээ
Хүнсний цехэд үйлчлэгч,"65,000 ₮",Веж Арт Натуралс ХХК,2024-11-19,5 шар,Үйлчилгээ
Оффис үйлчлэгч,"2,000,000 ₮",хувь хүн,2024-11-19,Мишээл,Үйлчилгээ
Эмэгтэй савлагч,"2,000,000 ₮",Тнгри Инвест ХХК,2024-11-19,Хороо 25,Үйлдвэрлэл
Түгээлтийн жолооч,"3,000,000 ₮",хувь хүн,2024-11-19,Амгалан,"Борлуулалт, худалдаа"
Савлагч,"1,800,000 ₮",Эко Кластер ХХК,2024-11-19,5 шар,Үйлдвэрлэл
Уурхайд ажиллах мэдээлэл технологийн инженер,"2,100,000 ₮",хувь хүн,2024-11-19,Хороо 6,"МТ, харилцаа холбоо"
Ээлжийн менежер,"2,500,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Туслах тогооч,"1,800,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Цэ энд цэ ххк-д зөөгч,"1,900,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Оператор,"1,300,000 ₮",хувь хүн,2024-11-19,Чингэлтэй,"МТ, харилцаа холбоо"
Бэйкери худалдааны зөвлөх,"1,200,000 ₮",Тэнгэрийн хишиг ХХК,2024-11-19,Хороо 5,"Борлуулалт, худалдаа"
Автомашин худалдааны төвд механикч,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 3,"Авто үйлчилгээ, засвар"
Уламжлалтын сувилагч,"2,000,000 ₮",хувь хүн,2024-11-19,Үндэсний цэцэрлэгт хүрээлэн,"Эрүүл мэнд, эм зүй"
Хүнсний үйлдвэрлэлийн ажилтан,"1,800,000 ₮",Тэнгэрийн хишиг ХХК,2024-11-19,Хороо 5,Үйлдвэрлэл
Дотрын эмч,"2,500,000 ₮",хувь хүн,2024-11-19,Үндэсний цэцэрлэгт хүрээлэн,"Эрүүл мэнд, эм зүй"
Нийтийн талбайн үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 25,Үйлчилгээ
Hamgaalagch,"120,000 ₮",хувь хүн,2024-11-19,Яармаг,Харуул хамгаалалт
Борлуулалт үйлчилгээний ажилтан / баруун 4 зам салбарт/,"1,400,000 ₮",хувь хүн,2024-11-19,Баруун 4 зам,"Борлуулалт, худалдаа"
Бэлтгэгч,"1,800,000 ₮",Тэнгэрийн хишиг ХХК,2024-11-19,Хороо 5,Үйлдвэрлэл
Хүнсний үйлдвэрт ажилтан,"1,500,000 ₮",хувь хүн,2024-11-19,13-р хороолол,Үйлдвэрлэл
Сантехникч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Барилга, дэд бүтэц"
Зайсанд худалдагч,"1,700,000 ₮",хувь хүн,2024-11-19,Зайсан,"Борлуулалт, худалдаа"
Тогооч,"1,900,000 ₮",хувь хүн,2024-11-19,Зайсан,"Pесторан, кафе, паб"
Зайсанд үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Зайсан,Үйлчилгээ
Үйлдвэрийн үйлчлэгч,"1,350,000 ₮",хувь хүн,2024-11-19,5 шар,Үйлчилгээ
Тогооч/ажилчдын цайны газарт/,"1,800,000 ₮",хувь хүн,2024-11-19,21-р хороолол,"Pесторан, кафе, паб"
Няравын туслах ажилтан /эрэгтэй/,"1,700,000 ₮",Жуулчин ХХК,2024-11-19,Мишээл,"Банк, санхүү, нябо, нярав"
Хан-уул дүүрэгт дэлгүүрийн худалдагч,"1,100,000 ₮",хувь хүн,2024-11-19,19-р хороолол,"Борлуулалт, худалдаа"
Авто зогсоолын зохицуулагч,"800,000 ₮",хувь хүн,2024-11-19,Хороо 5,Харуул хамгаалалт
Оффисд үйлчлэгч,"1,400,000 ₮",Рийч Пойнт ХХК,2024-11-19,Хороо 4,Үйлчилгээ
Эрэгтэй үйлчлэгч,"1,800,000 ₮",Рийч Пойнт ХХК,2024-11-19,Нарны хороолол,Үйлчилгээ
Зөөгч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Үйлдвэрийн үйлчлэгч,"1,800,000 ₮",Траст Трейд ХХК,2024-11-19,Хороо 30,Үйлчилгээ
Бгд-т хүнсний 8 нэрийн дэлгүүрт бараа өрөгч,"90,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Борлуулалт, худалдаа"
Бгд-т байрлах хүнсний 8 нэрийн дэлгүүрт худалдагч,"90,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Борлуулалт, худалдаа"
Хүнсний дэлгүүрт касс,"90,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Борлуулалт, худалдаа"
Ээлжийн тогооч,"1,500,000 ₮",хувь хүн,2024-11-19,Зайсан,"Pесторан, кафе, паб"
Kass,"1,800,000 ₮",хувь хүн,2024-11-19,Орос 3-р сургуулийн ойролцоо,"Борлуулалт, худалдаа"
Ээлжийн сантехникч,"1,700,000 ₮",хувь хүн,2024-11-19,Хороо 26,"Барилга, дэд бүтэц"
Харуул хамгаалалтын ажилтан,"100,000 ₮",хувь хүн,2024-11-19,Зайсан,Харуул хамгаалалт
Грилл хоолны тогооч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Туслах тогооч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Гал тогооны угаагч,"1,400,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Үйлчлэгч,"1,400,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Аялал жуулчлал, зочид буудал"
Шөнийн ээлжинд ажиллах хамгаалагч,"1,200,000 ₮",Их хар сүлд ХХК,2024-11-19,2 - 7 буудал,Харуул хамгаалалт
Харуул,"1,000,000 ₮",хувь хүн,2024-11-19,Сүхбаатарын талбай,Харуул хамгаалалт
Тавилгын үйлдвэрт мужаан,"3,000,000 ₮",хувь хүн,2024-11-19,100 айл,Үйлдвэрлэл
Үйлчлэгч,"2,000,000 ₮",хувь хүн,2024-11-19,Зайсан,Үйлчилгээ
Дохиололын оператор,"1,800,000 ₮",Их хар сүлд ХХК,2024-11-19,Хороо 4,Харуул хамгаалалт
Хамгаалагч,"1,650,000 ₮",Их хар сүлд ХХК,2024-11-19,Дэнжийн 1000,Харуул хамгаалалт
Жолооч,"120,000 ₮",Их хар сүлд ХХК,2024-11-19,Хороо 4,"Тээвэр, гааль, агуулах"
Банкны хамгаалагч,"900,000 ₮",Их хар сүлд ХХК,2024-11-19,Хороо 4,Харуул хамгаалалт
Эмэгтэй хамгаалагч,"90,000 ₮",Их хар сүлд ХХК,2024-11-19,40 мянгат,Харуул хамгаалалт
Харуул,"75,000 ₮",хувь хүн,2024-11-19,Сансар,Харуул хамгаалалт
Индүүчин,"1,700,000 ₮",хувь хүн,2024-11-19,4 хороолол,Үйлдвэрлэл
Цагийн ажилтан,"80,000 ₮",БОСА Глобал Брэндс ХХК,2024-11-19,Баруун 4 зам,Ажлын зар
Хотхоны харуул,"1,100,000 ₮",хувь хүн,2024-11-19,Хороо 1,Харуул хамгаалалт
Хар хорин хупалдааны төвд худалдагч,"1,600,000 ₮",хувь хүн,2024-11-19,Хороо 21,"Борлуулалт, худалдаа"
Яармагт шүдний эмчийн туслах ажилчин,"1,500,000 ₮",хувь хүн,2024-11-19,Яармаг,"Эрүүл мэнд, эм зүй"
Ажилчдын хоолны тогооч,"1,900,000 ₮",Траст Трейд ХХК,2024-11-19,Хороо 23,"Pесторан, кафе, паб"
Үйлдвэрийн дамжлагын ажилтан,"2,000,000 ₮",Траст Трейд ХХК,2024-11-19,Хороо 23,Үйлдвэрлэл
Ахлах тогооч,"3,000,000 ₮",хувь хүн,2024-11-18,25-р эмийн сан,"Pесторан, кафе, паб"
Тогооч,"1,800,000 ₮",хувь хүн,2024-11-18,25-р эмийн сан,"Pесторан, кафе, паб"
Салхивч угсралт хийх хүн,"3,000,000 ₮",хувь хүн,2024-11-18,Яармаг,"Барилга, дэд бүтэц"
Караокед зөөгч,"65,000 ₮",хувь хүн,2024-11-18,Хороо 17,"Pесторан, кафе, паб"
Рестораны бармен,"1,600,000 ₮",хувь хүн,2024-11-18,Зайсан,"Pесторан, кафе, паб"
Хамгаалагч,"1,800,000 ₮",хувь хүн,2024-11-18,Төмөр зам,Харуул хамгаалалт
Амралтын газар ажиллах тогооч,"100,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Pесторан, кафе, паб"
Цахилгаанчин,"1,800,000 ₮",хувь хүн,2024-11-18,4 хороолол,"Барилга, дэд бүтэц"
Харуул,"1,000,000 ₮",хувь хүн,2024-11-18,Нүхтийн ам,Харуул хамгаалалт
Uulzbar гал тогоонд бэлтгэгч,"1,800,000 ₮",хувь хүн,2024-11-18,Хороо 1,"Pесторан, кафе, паб"
Худалдагч,"1,700,000 ₮",хувь хүн,2024-11-18,Сансар,"Борлуулалт, худалдаа"
Түгээлтийн туслах,"1,800,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Борлуулалт, худалдаа"
"Угаагч , бэлтгэгч","1,800,000 ₮",хувь хүн,2024-11-18,Олимп хотхон,"Pесторан, кафе, паб"
Ерөнхий нягтлан бодогч,"2,800,000 ₮",хувь хүн,2024-11-18,5 шар,"Банк, санхүү, нябо, нярав"
Молока шугамын чаналгын оператор,"2,500,000 ₮",БОСА Кондитер ХХК,2024-11-18,Хороо 18,Үйлдвэрлэл
Тооцооны нягтлан,"2,500,000 ₮",хувь хүн,2024-11-18,Яармаг,"Банк, санхүү, нябо, нярав"
Гадна талбайн ажилтан,"1,400,000 ₮",хувь хүн,2024-11-18,Яармаг,Үйлчилгээ
Түгээгч-өмнөговь аймагт суурин,"2,300,000 ₮",Тотал Дистрибюшин ХХК,2024-11-18,Өмнөговь,"Борлуулалт, худалдаа"
Үйлчлэгч,"2,500,000 ₮",хувь хүн,2024-11-18,Хороо 17,Үйлчилгээ
Салон ресепшин,"2,000,000 ₮",хувь хүн,2024-11-18,Хороо 17,"Гоо сайхан, фитнес, спорт"
Кофе шоп-д бариста,"1,200,000 ₮",хувь хүн,2024-11-18,Зайсан,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,200,000 ₮",хувь хүн,2024-11-18,Хороо 14,"Борлуулалт, худалдаа"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-18,Дөлгөөн нуур,Үйлчилгээ
Солонгос ресторанд зөөгч,"1,700,000 ₮",хувь хүн,2024-11-18,Хороо 15,"Pесторан, кафе, паб"
Нягтлан бодогч/тэрэлжид байрлаж ажиллах/,"2,100,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Банк, санхүү, нябо, нярав"
Нярав /тэрэлжид байрлаж ажиллах/,"1,800,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Аялал жуулчлал, зочид буудал"
Зөөгч/тэрэлжид байрлаж ажиллах/,"1,500,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Аялал жуулчлал, зочид буудал"
Үйлчлэгч/тэрэлжид байрлаж ажиллах/,"1,500,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Аялал жуулчлал, зочид буудал"
Оператор,"1,500,000 ₮",хувь хүн,2024-11-18,4 хороолол,"МТ, харилцаа холбоо"
Тогооч,"2,200,000 ₮",хувь хүн,2024-11-18,Сонсголон,"Pесторан, кафе, паб"
Ресепшин/тэрэлжид байрлаж ажиллах/,"1,500,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Аялал жуулчлал, зочид буудал"
Мал мах муулах,"50,000 ₮",хувь хүн,2024-11-18,Хороо 9,Үйлчилгээ
Рестораны менежер,"2,500,000 ₮",хувь хүн,2024-11-18,Хороо 6,Ажлын зар
Карказан сууцны гагнуурчин,"2,500,000 ₮",хувь хүн,2024-11-18,Орбит,"Барилга, дэд бүтэц"
Худалдагч,"1,300,000 ₮",хувь хүн,2024-11-18,1-р хороолол,"Борлуулалт, худалдаа"
Ресторанд тогооч,"3,000,000 ₮",хувь хүн,2024-11-18,19-р хороолол,"Pесторан, кафе, паб"
Тооцооны нягтлан бодогч,"2,000,000 ₮",Уран хан констракшн ХХК,2024-11-18,Хороо 1,"Банк, санхүү, нябо, нярав"
Алтжин бөмбөгөр худалдааны төвд бэлэн хувцасны лангуунд худалдагч,"1,100,000 ₮",хувь хүн,2024-11-18,Бөмбөгөр,"Борлуулалт, худалдаа"
Waiter wanted,"7,000 ₮",хувь хүн,2024-11-18,Хороо 1,"Pесторан, кафе, паб"
3-4 хороололд худалдагч,"1,100,000 ₮",хувь хүн,2024-11-18,6-р бичил,"Борлуулалт, худалдаа"
Өдрийн ээлжийн касс,"1,400,000 ₮",хувь хүн,2024-11-18,19-р хороолол,"Борлуулалт, худалдаа"
СӨХ-д туслах ажилтан,"1,400,000 ₮",хувь хүн,2024-11-18,Яармаг,Туслах ажилчин
Дэлгүүрт үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-11-18,7 буудал,Үйлчилгээ
Үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-11-18,Viva city,Үйлчилгээ
Тогооч,"2,100,000 ₮",хувь хүн,2024-11-18,Хороо 3,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,200,000 ₮",хувь хүн,2024-11-18,Бөхийн Өргөө,"Борлуулалт, худалдаа"
Тогооч,"3,500,000 ₮",хувь хүн,2024-11-18,Зайсан,"Pесторан, кафе, паб"
Амталгааны ажилтан,"70,000 ₮",хувь хүн,2024-11-18,Хороо 29,Ажлын зар
Жолооч,"1,500,000 ₮",хувь хүн,2024-11-18,Баруун 4 зам,"Тээвэр, гааль, агуулах"
Үйлчлэгч,"1,500,000 ₮",Нуган ХХК,2024-11-18,Хороо 2,Үйлчилгээ
Эмч төлөөлөгч,"2,500,000 ₮",Нуган ХХК,2024-11-18,Хороо 2,"Эрүүл мэнд, эм зүй"
Үйлчлэгч,"1,300,000 ₮",хувь хүн,2024-11-18,1-р хороолол,Үйлчилгээ
Худалдааны зөвлөх /зайсан стар/,"1,500,000 ₮",ЭМ БИ ФЭЙШН ХХК,2024-11-18,Зайсан,"Борлуулалт, худалдаа"
